username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-09-17 10:54;181;550;"So you agree PM should unfollow abusive handles ? That's great. So glad you finally saw the light https:// twitter.com/indian_jk/stat us/909419695580647426 …";;;;"909445426297765891";https://twitter.com/Nidhi/status/909445426297765891
;2017-09-17 10:18;15;64;"Hmm https:// twitter.com/frankunderwocd /status/909436033355403265 …";;;;"909436318916022273";https://twitter.com/Nidhi/status/909436318916022273
;2017-09-17 10:10;0;5;"Thankfully hasn't said that";;;;"909434273702100993";https://twitter.com/Nidhi/status/909434273702100993
;2017-09-17 09:17;3;24;"Doesn't take away from PM. But punctures high moral ground of Cong";;;;"909421029440622593";https://twitter.com/Nidhi/status/909421029440622593
;2017-09-17 09:13;0;15;"She was asking about journos . Here is an ex Minister.";;;;"909420101794799616";https://twitter.com/Nidhi/status/909420101794799616
;2017-09-17 09:05;0;21;"The window for tha excuse has long passed";;;;"909417982782185472";https://twitter.com/Nidhi/status/909417982782185472
;2017-09-17 09:02;0;11;"Never said it did. Just that Congress loses the high moral ground";;;;"909417302998712320";https://twitter.com/Nidhi/status/909417302998712320
;2017-09-17 09:00;52;190;"He's a former I and B Minister KP. Congress has to practice what it preaches https:// twitter.com/raisinaseries/ status/909416429077766144 …";;;;"909416886185598976";https://twitter.com/Nidhi/status/909416886185598976
;2017-09-17 08:59;1;6;"Absolutely";;;;"909416523562868736";https://twitter.com/Nidhi/status/909416523562868736
;2017-09-17 08:55;1003;2109;"The Congress has lost any high moral ground it claimed on the issue of online abuse. Why blame the PM for who he follows then? https:// twitter.com/manishtewari/s tatus/909303214104817664 …";;;;"909415525792362496";https://twitter.com/Nidhi/status/909415525792362496
;2017-09-17 01:19;3;41;"";;;;"909300790585466881";https://twitter.com/Nidhi/status/909300790585466881
;2017-09-16 10:16;0;1;"Just saw";;;;"909073528959287296";https://twitter.com/Nidhi/status/909073528959287296
;2017-09-16 10:16;0;1;"Just saw that. Sad. But a life that must be celebrated";;;;"909073461854662656";https://twitter.com/Nidhi/status/909073461854662656
;2017-09-16 10:03;0;41;"But it is";;;;"909070199734726656";https://twitter.com/Nidhi/status/909070199734726656
;2017-09-16 10:03;0;0;"Thank you :)";;;;"909070138170785793";https://twitter.com/Nidhi/status/909070138170785793
;2017-09-16 09:55;0;0;"Why not ?";;;;"909068138628620289";https://twitter.com/Nidhi/status/909068138628620289
;2017-09-16 03:18;1;21;"I'm assuming hair is now sorted ?";;;;"908968396963725312";https://twitter.com/Nidhi/status/908968396963725312
;2017-09-16 02:43;0;4;"Clark Kent";;;;"908959504687013888";https://twitter.com/Nidhi/status/908959504687013888
;2017-09-15 22:05;0;25;"";;;;"908889645907185664";https://twitter.com/Nidhi/status/908889645907185664
;2017-09-15 12:11;27;118;"This is great piece @jrpur . Salute you for your courage and for being such a fine example to all https:// twitter.com/jrpur/status/9 08707856026714114 …";;@jrpur;;"908740171100708864";https://twitter.com/Nidhi/status/908740171100708864
;2017-09-15 01:32;7;97;"I thought 12";;;;"908579151216467968";https://twitter.com/Nidhi/status/908579151216467968
;2017-09-15 01:15;5;57;"That only shows pathetic the probe is then. Clutching at straws. Bizarre";;;;"908574962310463489";https://twitter.com/Nidhi/status/908574962310463489
;2017-09-14 12:31;4;100;"Welcome :)";;;;"908382783336194048";https://twitter.com/Nidhi/status/908382783336194048
;2017-09-14 10:59;3;39;"Congratulations";;;;"908359575954272256";https://twitter.com/Nidhi/status/908359575954272256
;2017-09-14 07:49;0;17;"Congratulations";;;;"908311686624317441";https://twitter.com/Nidhi/status/908311686624317441
;2017-09-14 07:48;104;516;"He clearly met Venkaiahji on this trip somewhere https:// twitter.com/indiatodayflas h/status/908195465304276993 …";;;;"908311424971055104";https://twitter.com/Nidhi/status/908311424971055104
;2017-09-14 07:24;212;646;"At 8pm: the takeaways from the Japan PM's visit. Was it the virtual launch of the Gujarat election campaign?And did no one kill Pehlu Khan?";;;;"908305412650262533";https://twitter.com/Nidhi/status/908305412650262533
;2017-09-14 01:52;0;1;"Hahaha";;;;"908221841029955584";https://twitter.com/Nidhi/status/908221841029955584
;2017-09-13 10:29;1;6;"Haha";;;;"907989633253773312";https://twitter.com/Nidhi/status/907989633253773312
;2017-09-13 07:11;43;215;"Also at 8pm: "How the BJP Wins": we discuss @prashantktm 's new book on the BJP election machine. Is it really unbeatable ?";;@prashantktm;;"907939672608911360";https://twitter.com/Nidhi/status/907939672608911360
;2017-09-13 07:10;510;1685;"At 8pm: what's the message from the DUSU results? That hyper nationalism won't work with young Indians?";;;;"907939488604852225";https://twitter.com/Nidhi/status/907939488604852225
;2017-09-13 06:46;26;155;"Fantastic ! Congratulations to @Suparna_Singh and her amazing team https:// twitter.com/suparna_singh/ status/907925945931112448 …";;@Suparna_Singh;;"907933536627412994";https://twitter.com/Nidhi/status/907933536627412994
;2017-09-13 03:10;1;36;"Wow congrats Swati";;;;"907879069810692096";https://twitter.com/Nidhi/status/907879069810692096
;2017-09-13 02:31;473;910;"Bangladesh HC tells me what is happening in Myanmar is "genocide", calls on India to do more to urge Myanmar to end violence. Intw at 8pm";;;;"907869350358429696";https://twitter.com/Nidhi/status/907869350358429696
;2017-09-13 02:21;12;40;"media must ques the govt. You must've missed all the shows on CWG, 2G when UPA was in power. & you missed Cong trolling me only 2 days ago";;;;"907866931994038272";https://twitter.com/Nidhi/status/907866931994038272
;2017-09-13 00:23;60;181;"My bad. I must have missed all your tweets that ever criticised the BJP govt for anything. Apologies";;;;"907837079933124608";https://twitter.com/Nidhi/status/907837079933124608
;2017-09-12 22:42;0;6;"Nice one Sushant";;;;"907811606758793217";https://twitter.com/Nidhi/status/907811606758793217
;2017-09-12 22:24;16;61;"You're not in the BJP?";;;;"907807183823192064";https://twitter.com/Nidhi/status/907807183823192064
;2017-09-12 13:03;0;0;"https://www. google.co.in/amp/wap.busine ss-standard.com/article-amp/news-ani/rahul-gandhi-saying-irrelevant-things-to-ensure-his-relevance-in-congress-bjp-116121700092_1.html …";;;;"907665991420620801";https://twitter.com/Nidhi/status/907665991420620801
;2017-09-12 12:53;36;108;"As detailed and in depth as it can get. Must read https:// twitter.com/anoobhu/status /907475344143159296 …";;;;"907663585341353985";https://twitter.com/Nidhi/status/907663585341353985
;2017-09-12 08:28;85;470;"Tonight at 8, we analyse @OfficeOfRG 's speech at UC Berkeley. Did he insult India by criticising the PM as BJP claims? Watch the debate";;@OfficeOfRG;;"907596856372420608";https://twitter.com/Nidhi/status/907596856372420608
;2017-09-12 07:25;2;29;"Yes well I'm talking about the BJP";;;;"907581052641697792";https://twitter.com/Nidhi/status/907581052641697792
;2017-09-12 07:21;19;108;"You can't say on one hand he's irrelevant and a failure and then have top ministers out to attack . Make up your mind";;;;"907579880845348865";https://twitter.com/Nidhi/status/907579880845348865
;2017-09-12 07:20;1110;1781;"More technical problems https:// twitter.com/indianexpress/ status/907578958685671424 …";;;;"907579642164404229";https://twitter.com/Nidhi/status/907579642164404229
;2017-09-12 07:18;0;1;"No way!";;;;"907579235815976960";https://twitter.com/Nidhi/status/907579235815976960
;2017-09-12 07:18;1;6;"Yeh kya bakwas hai?";;;;"907579195747790849";https://twitter.com/Nidhi/status/907579195747790849
